case_id,case_type,court_level,filing_year,num_parties,has_jury,num_legal_reps,duration_days,settled_pre_trial,prior_cases_same_party,outcome
1104,contract,appeal,2015,2,False,1,231,True,1,settled
1105,criminal,trial,2020,5,False,3,67,False,6,plaintiff_win
1106,criminal,trial,2018,4,True,1,289,True,7,settled
1107,criminal,trial,2019,3,False,3,217,False,9,defendant_win
1108,contract,appeal,2020,2,False,2,86,False,7,plaintiff_win
1109,criminal,appeal,2020,3,False,1,49,False,3,defendant_win
1110,family,appeal,2017,4,True,3,302,True,0,settled
1111,contract,trial,2015,2,False,1,148,False,10,settled
1112,family,appeal,2015,3,True,1,100,False,6,settled
1113,contract,appeal,2022,5,True,2,33,False,0,plaintiff_win
1114,criminal,appeal,2021,2,False,1,250,False,10,plaintiff_win
1115,family,appeal,2021,3,False,3,43,True,3,settled
1116,contract,trial,2021,4,False,3,32,False,7,plaintiff_win
1117,civil,trial,2021,4,True,3,245,False,1,defendant_win
1118,criminal,appeal,2019,2,False,3,258,False,5,defendant_win
1119,contract,trial,2019,3,True,2,365,False,5,plaintiff_win
1120,civil,trial,2020,2,True,1,215,False,8,plaintiff_win
1121,contract,appeal,2016,2,False,2,84,False,4,defendant_win
1122,civil,appeal,2017,3,False,1,283,False,9,plaintiff_win
1123,criminal,trial,2017,3,False,1,53,True,3,settled
1124,family,appeal,2021,5,False,1,191,True,4,settled
1125,civil,trial,2020,3,False,2,187,True,9,settled
1126,contract,appeal,2022,4,False,1,111,True,10,settled
1127,criminal,trial,2018,2,True,2,188,False,4,defendant_win
1128,civil,appeal,2016,2,False,3,217,False,7,defendant_win
1129,contract,trial,2020,4,False,3,89,False,9,defendant_win
1130,contract,trial,2016,3,True,1,334,False,7,plaintiff_win
1131,contract,trial,2016,4,False,2,348,False,1,plaintiff_win
1132,civil,appeal,2016,4,False,3,240,False,6,defendant_win
1133,civil,trial,2020,5,True,2,181,False,7,defendant_win
1134,civil,trial,2021,4,True,2,138,False,10,defendant_win
1135,family,appeal,2017,2,False,1,105,False,5,defendant_win
1136,civil,appeal,2017,4,True,3,59,True,4,settled
1137,civil,trial,2021,2,False,1,343,True,10,settled
1138,civil,trial,2016,2,False,1,146,False,8,settled
1139,family,appeal,2018,2,False,3,221,False,2,plaintiff_win
1140,civil,appeal,2015,3,False,3,48,True,9,settled
1141,contract,appeal,2020,5,False,2,202,False,3,defendant_win
1142,civil,appeal,2015,2,False,3,257,False,8,plaintiff_win
1143,contract,appeal,2022,2,False,2,212,True,5,settled
1144,contract,trial,2021,3,False,2,142,True,7,settled
1145,contract,appeal,2018,2,True,2,212,False,6,plaintiff_win
1146,family,trial,2020,4,False,3,175,False,10,settled
1147,family,trial,2021,4,False,1,348,True,1,settled
1148,family,trial,2016,5,False,2,145,False,2,defendant_win
1149,civil,appeal,2017,2,False,1,142,False,0,plaintiff_win
1150,contract,trial,2015,3,False,1,280,False,8,plaintiff_win
1151,family,trial,2019,4,False,3,280,True,6,settled
1152,family,appeal,2019,3,False,1,332,True,0,settled
1153,civil,trial,2018,3,False,1,342,False,2,defendant_win
1154,family,trial,2016,4,False,3,147,False,3,settled
1155,civil,appeal,2022,3,False,2,330,False,3,plaintiff_win
1156,criminal,trial,2015,4,False,1,190,True,4,settled
1157,family,trial,2016,3,True,3,227,False,2,defendant_win
1158,criminal,trial,2015,4,False,1,289,True,2,settled
1159,civil,appeal,2018,2,False,1,177,True,0,settled
1160,contract,appeal,2018,5,True,2,269,True,6,settled
1161,family,appeal,2022,4,False,1,76,True,10,settled
1162,civil,trial,2019,4,True,3,227,False,9,plaintiff_win
1163,contract,trial,2016,5,False,1,76,False,0,settled
1164,contract,appeal,2020,4,False,2,107,True,1,settled
1165,criminal,trial,2019,4,True,2,153,False,3,plaintiff_win
1166,civil,trial,2016,3,False,3,104,True,3,settled
1167,contract,appeal,2019,5,False,2,166,False,4,defendant_win
1168,family,appeal,2020,2,False,1,119,False,10,defendant_win
1169,family,trial,2017,4,True,2,354,True,1,settled
1170,criminal,trial,2017,5,True,3,90,False,3,defendant_win
1171,contract,trial,2022,3,False,2,167,True,0,settled
1172,civil,appeal,2017,2,False,2,79,True,1,settled
1173,family,appeal,2017,5,False,2,288,True,0,settled
1174,contract,appeal,2021,2,True,3,136,False,9,plaintiff_win
1175,contract,appeal,2015,2,False,2,142,False,9,plaintiff_win
1176,criminal,trial,2021,2,False,2,283,True,3,settled
1177,family,appeal,2021,4,False,1,147,False,3,plaintiff_win
1178,family,appeal,2022,4,True,3,227,False,6,plaintiff_win
1179,civil,appeal,2021,3,False,2,80,False,9,defendant_win
1180,family,appeal,2017,3,False,3,274,False,10,plaintiff_win
1181,civil,appeal,2020,5,False,2,64,False,10,defendant_win
1182,family,trial,2022,3,False,2,331,True,8,settled
1183,criminal,trial,2022,2,False,2,98,True,8,settled
1184,family,appeal,2018,2,False,1,349,False,4,settled
1185,civil,trial,2022,4,True,1,78,True,9,settled
1186,civil,appeal,2018,2,False,1,103,False,0,plaintiff_win
1187,criminal,appeal,2022,5,False,3,221,False,0,defendant_win
1188,family,trial,2015,2,True,3,290,True,5,settled
1189,family,trial,2017,2,False,1,99,True,1,settled
1190,criminal,appeal,2022,5,False,3,119,True,7,settled
1191,family,appeal,2017,3,True,2,289,False,8,settled
1192,family,appeal,2017,3,False,2,155,False,3,settled
1193,civil,trial,2019,5,False,2,260,True,4,settled
1194,family,appeal,2022,4,False,1,324,True,10,settled
1195,family,appeal,2016,2,True,3,158,True,7,settled
1196,criminal,appeal,2019,5,False,1,309,False,2,defendant_win
1197,criminal,trial,2016,2,False,3,342,True,4,settled
1198,contract,appeal,2017,4,False,2,129,False,2,plaintiff_win
1199,civil,appeal,2017,2,False,1,355,True,9,settled
1200,family,trial,2019,5,True,3,326,True,2,settled
1201,family,appeal,2019,2,False,3,211,False,2,settled
1202,contract,appeal,2016,3,True,2,203,False,6,plaintiff_win
1203,family,trial,2018,4,True,1,345,False,6,settled
1204,civil,appeal,2016,4,False,1,217,False,6,plaintiff_win
1205,contract,trial,2019,4,False,1,86,True,9,settled
1206,civil,trial,2020,5,False,2,60,False,7,plaintiff_win
1207,contract,appeal,2019,4,False,1,113,True,4,settled
1208,contract,appeal,2020,3,False,2,181,True,4,settled
1209,criminal,appeal,2015,5,True,2,65,False,3,defendant_win
1210,civil,appeal,2019,3,False,2,242,False,6,defendant_win
1211,family,trial,2015,2,False,3,135,False,9,plaintiff_win
1212,family,appeal,2018,2,False,1,249,False,3,plaintiff_win
1213,civil,trial,2016,2,True,1,192,False,1,settled
1214,family,appeal,2020,2,False,2,249,True,3,settled
1215,family,appeal,2016,3,False,2,299,True,7,settled
1216,civil,appeal,2015,5,True,1,149,False,8,defendant_win
1217,contract,trial,2020,5,True,2,365,True,2,settled
1218,civil,appeal,2016,4,False,1,211,False,6,settled
1219,contract,appeal,2019,3,False,3,135,False,8,defendant_win
1220,family,appeal,2017,2,True,2,246,True,10,settled
1221,family,appeal,2015,3,False,1,234,False,3,defendant_win
1222,family,trial,2016,4,True,2,99,False,9,defendant_win
1223,criminal,appeal,2015,4,False,1,73,True,2,settled
1224,contract,trial,2021,3,False,1,358,False,4,plaintiff_win
1225,criminal,trial,2015,3,False,2,330,False,0,defendant_win
1226,criminal,trial,2020,3,False,3,257,True,2,settled
1227,civil,trial,2021,5,False,1,213,False,7,settled
1228,criminal,trial,2022,2,True,1,136,False,10,plaintiff_win
1229,civil,trial,2020,3,False,1,113,True,7,settled
1230,civil,appeal,2017,3,False,3,279,False,3,plaintiff_win
1231,criminal,trial,2021,3,False,3,50,True,1,settled
1232,contract,trial,2022,4,True,2,225,False,7,defendant_win
1233,contract,trial,2019,4,True,3,207,False,7,plaintiff_win
1234,contract,appeal,2015,5,True,2,36,True,9,settled
1235,contract,appeal,2016,2,False,2,99,True,3,settled
1236,contract,trial,2018,5,False,3,156,False,2,defendant_win
1237,criminal,appeal,2015,2,False,2,189,False,1,defendant_win
1238,criminal,trial,2022,4,False,3,277,False,8,defendant_win
1239,family,trial,2015,4,False,2,232,True,0,settled
1240,contract,appeal,2017,4,True,3,177,False,6,defendant_win
1241,criminal,trial,2019,5,False,3,172,False,4,defendant_win
1242,family,appeal,2018,3,False,2,228,False,7,settled
1243,contract,appeal,2021,3,False,1,183,True,3,settled
1244,civil,trial,2021,4,False,2,171,False,6,plaintiff_win
1245,family,trial,2021,3,False,3,342,False,4,defendant_win
1246,criminal,appeal,2022,3,False,1,194,True,4,settled
1247,civil,trial,2020,5,True,2,343,False,8,plaintiff_win
1248,civil,trial,2020,2,True,2,50,True,8,settled
1249,civil,trial,2016,4,False,2,111,False,8,defendant_win
1250,family,appeal,2018,4,False,1,98,False,5,plaintiff_win
1251,criminal,appeal,2021,5,False,3,160,True,5,settled
1252,civil,trial,2020,5,False,2,116,False,4,plaintiff_win
1253,contract,appeal,2022,3,True,2,247,False,8,plaintiff_win
1254,civil,appeal,2016,4,True,2,334,True,9,settled
1255,civil,appeal,2019,2,False,2,190,False,7,defendant_win
1256,family,appeal,2016,5,False,2,207,False,6,settled
1257,family,appeal,2020,2,True,3,146,False,6,settled
1258,criminal,trial,2017,2,False,3,225,True,5,settled
1259,contract,trial,2022,4,True,2,356,False,4,plaintiff_win
1260,family,trial,2017,4,False,1,115,False,3,settled
1261,civil,appeal,2021,5,True,3,318,True,2,settled
1262,criminal,appeal,2017,4,False,1,110,False,2,plaintiff_win
1263,civil,trial,2021,4,False,3,181,False,5,defendant_win
1264,civil,appeal,2021,4,False,2,90,False,3,defendant_win
1265,family,trial,2020,2,True,3,90,False,5,defendant_win
1266,criminal,trial,2017,5,True,2,57,False,2,plaintiff_win
1267,contract,trial,2021,3,False,3,72,False,3,plaintiff_win
1268,contract,appeal,2018,2,False,2,198,True,8,settled
1269,family,appeal,2019,4,False,2,115,False,4,defendant_win
1270,family,trial,2016,2,True,2,206,False,6,plaintiff_win
1271,criminal,trial,2016,4,False,2,46,False,9,defendant_win
1272,contract,trial,2020,4,False,1,127,False,1,defendant_win
1273,contract,trial,2017,2,False,2,227,False,4,defendant_win
1274,contract,appeal,2017,5,True,1,127,False,8,defendant_win
1275,civil,appeal,2021,4,False,1,94,False,10,defendant_win
1276,contract,trial,2022,5,True,2,359,False,2,defendant_win
1277,civil,trial,2015,3,True,1,34,False,8,settled
1278,criminal,appeal,2021,4,False,3,31,True,10,settled
1279,civil,appeal,2019,5,True,2,51,True,5,settled
1280,criminal,trial,2018,5,False,1,141,False,3,plaintiff_win
1281,contract,trial,2016,3,False,2,86,True,6,settled
1282,contract,trial,2021,5,False,2,95,True,7,settled
1283,criminal,appeal,2015,5,False,2,359,True,5,settled
1284,family,appeal,2015,3,True,1,127,True,4,settled
1285,criminal,appeal,2021,4,False,3,173,True,5,settled
1286,family,trial,2020,5,False,3,154,False,4,plaintiff_win
1287,civil,trial,2016,5,True,1,196,True,7,settled
1288,civil,appeal,2020,5,False,2,115,False,0,plaintiff_win
1289,civil,appeal,2018,2,True,1,105,False,10,settled
1290,contract,trial,2015,3,True,1,323,False,6,defendant_win
1291,civil,appeal,2015,2,False,1,88,True,9,settled
1292,family,appeal,2019,3,True,2,167,False,9,settled
1293,civil,trial,2018,4,False,1,128,False,10,settled
1294,criminal,appeal,2015,4,False,2,221,False,1,plaintiff_win
1295,criminal,trial,2018,5,False,1,272,False,8,plaintiff_win
1296,contract,trial,2016,3,True,3,348,False,0,plaintiff_win
1297,criminal,trial,2017,4,True,1,78,True,10,settled
1298,family,trial,2015,3,True,1,61,False,9,defendant_win
1299,civil,trial,2019,4,False,3,306,False,5,defendant_win
1300,contract,trial,2016,2,False,2,49,False,8,defendant_win
1301,civil,trial,2021,4,True,2,183,False,0,plaintiff_win
1302,civil,appeal,2018,2,False,1,97,True,3,settled
1303,family,trial,2021,4,True,3,243,False,3,settled
1304,criminal,trial,2020,5,False,2,172,True,8,settled
1305,criminal,appeal,2016,2,False,1,261,True,10,settled
1306,civil,appeal,2021,4,False,3,242,True,4,settled
1307,contract,appeal,2022,5,False,2,108,True,4,settled
1308,criminal,trial,2022,2,False,2,243,False,5,defendant_win
1309,contract,appeal,2015,5,False,3,145,True,0,settled
1310,criminal,trial,2018,3,False,3,121,True,0,settled
1311,contract,trial,2017,3,True,3,299,False,8,defendant_win
1312,family,trial,2016,2,False,3,197,False,2,settled
1313,contract,trial,2015,4,False,1,87,False,3,defendant_win
1314,family,appeal,2019,2,False,3,313,False,0,settled
1315,family,appeal,2020,5,False,2,55,False,8,defendant_win
1316,contract,trial,2018,4,False,2,95,True,7,settled
1317,family,trial,2016,3,False,1,277,True,1,settled
1318,civil,trial,2022,4,False,2,283,False,7,plaintiff_win
1319,family,appeal,2016,3,True,2,73,True,6,settled
1320,criminal,trial,2017,4,True,3,126,False,10,defendant_win
1321,contract,trial,2022,4,True,2,71,True,5,settled
1322,civil,appeal,2017,4,True,1,256,True,0,settled
1323,contract,appeal,2019,5,False,3,291,False,6,plaintiff_win
1324,criminal,trial,2020,5,True,3,196,False,9,defendant_win
1325,criminal,appeal,2019,2,False,1,308,False,6,defendant_win
1326,criminal,appeal,2015,2,False,3,118,False,8,defendant_win
1327,family,trial,2015,3,True,3,207,True,0,settled
1328,family,appeal,2019,5,False,1,226,True,1,settled
1329,contract,trial,2020,3,False,3,336,False,10,plaintiff_win
1330,contract,appeal,2019,2,False,1,296,False,8,plaintiff_win
1331,civil,trial,2020,3,False,1,297,True,8,settled
1332,civil,trial,2020,2,False,2,103,False,5,plaintiff_win
1333,contract,trial,2021,5,True,2,37,True,5,settled
1334,family,appeal,2022,4,False,3,326,False,3,plaintiff_win
1335,criminal,trial,2018,5,False,3,193,True,3,settled
1336,contract,appeal,2020,3,False,1,114,False,4,plaintiff_win
1337,civil,trial,2017,3,True,3,101,False,2,plaintiff_win
1338,family,trial,2020,5,False,1,84,True,0,settled
1339,contract,appeal,2020,5,True,1,76,False,0,defendant_win
1340,contract,trial,2020,2,True,3,267,False,6,plaintiff_win
1341,family,trial,2021,3,True,1,133,True,0,settled
1342,contract,appeal,2022,3,False,2,239,True,0,settled
1343,family,trial,2021,5,False,3,71,True,2,settled
1344,criminal,trial,2015,4,False,2,345,True,9,settled
1345,family,trial,2021,3,False,3,297,False,3,plaintiff_win
1346,family,trial,2017,4,False,1,292,False,3,plaintiff_win
1347,family,appeal,2017,5,False,3,365,False,1,defendant_win
1348,contract,appeal,2021,5,False,2,288,True,0,settled
1349,contract,trial,2022,2,False,1,312,True,2,settled
1350,family,appeal,2019,3,True,3,143,True,10,settled
1351,contract,trial,2018,4,False,3,69,False,3,defendant_win
1352,civil,appeal,2022,2,False,3,249,False,2,plaintiff_win
1353,civil,trial,2021,3,False,2,158,True,7,settled
1354,contract,trial,2020,2,False,2,37,False,9,plaintiff_win
1355,contract,trial,2016,5,False,3,130,False,0,plaintiff_win
1356,family,trial,2018,3,False,1,205,False,1,plaintiff_win
1357,criminal,trial,2018,2,False,1,136,False,6,defendant_win
1358,contract,trial,2017,2,False,2,130,False,3,defendant_win
1359,civil,appeal,2018,4,True,1,289,False,7,settled
1360,family,trial,2021,2,False,2,275,False,10,plaintiff_win
1361,contract,appeal,2020,3,False,3,304,False,2,plaintiff_win
1362,civil,trial,2020,3,True,2,61,True,5,settled
1363,civil,appeal,2015,4,False,2,166,True,8,settled
1364,criminal,appeal,2020,3,False,3,41,True,0,settled
1365,family,appeal,2022,5,False,1,331,False,0,plaintiff_win
1366,family,trial,2020,3,True,2,45,True,7,settled
1367,criminal,trial,2017,3,False,2,158,False,2,defendant_win
1368,criminal,appeal,2020,2,False,3,92,False,4,defendant_win
1369,family,trial,2015,2,True,1,138,False,0,plaintiff_win
1370,family,appeal,2016,3,True,2,50,True,4,settled
1371,contract,trial,2021,4,False,3,187,False,10,defendant_win
1372,contract,appeal,2017,2,True,2,298,False,5,defendant_win
1373,criminal,appeal,2022,4,False,3,191,False,7,defendant_win
1374,contract,trial,2016,3,False,1,289,True,2,settled
1375,civil,appeal,2017,3,True,1,131,False,2,plaintiff_win
1376,contract,trial,2019,5,False,1,252,True,10,settled
1377,contract,appeal,2018,2,False,1,88,True,10,settled
1378,civil,appeal,2019,3,False,2,276,False,9,defendant_win
1379,criminal,trial,2020,5,False,2,157,False,8,defendant_win
1380,civil,trial,2016,2,False,1,312,False,3,settled
1381,contract,trial,2020,3,True,1,354,False,3,settled
1382,criminal,appeal,2018,3,False,1,54,False,6,plaintiff_win
1383,contract,trial,2017,2,False,2,160,False,1,plaintiff_win
1384,civil,appeal,2018,2,True,1,225,True,7,settled
1385,civil,appeal,2015,2,False,1,310,False,5,plaintiff_win
1386,contract,trial,2018,3,False,1,183,True,2,settled
1387,family,trial,2015,3,False,3,162,False,8,settled
1388,family,appeal,2018,5,True,1,256,False,4,settled
1389,civil,appeal,2021,4,False,3,218,True,7,settled
1390,civil,trial,2015,2,False,3,294,False,6,defendant_win
1391,family,trial,2016,3,True,1,163,False,7,plaintiff_win
1392,family,trial,2020,3,True,3,240,False,6,settled
1393,contract,trial,2022,2,True,1,89,False,2,settled
1394,contract,trial,2020,4,False,2,242,False,1,plaintiff_win
1395,family,appeal,2019,2,False,2,245,False,6,defendant_win
1396,contract,appeal,2020,4,False,2,255,True,2,settled
1397,contract,appeal,2017,3,False,2,160,False,2,plaintiff_win
1398,criminal,appeal,2021,4,True,3,105,False,1,defendant_win
1399,contract,trial,2018,5,False,1,315,True,3,settled
1400,civil,trial,2019,3,False,1,306,True,7,settled
1401,contract,trial,2017,5,True,1,185,False,0,settled
1402,contract,appeal,2017,2,True,2,277,False,0,plaintiff_win
1403,family,appeal,2015,2,True,2,247,False,4,defendant_win
1404,civil,trial,2020,2,False,1,219,False,10,defendant_win
1405,contract,trial,2016,4,False,2,192,True,4,settled
1406,contract,appeal,2022,3,False,1,209,True,10,settled
1407,criminal,appeal,2016,2,False,1,63,False,0,defendant_win
1408,contract,trial,2019,2,False,1,70,True,5,settled
1409,contract,trial,2021,3,False,1,336,True,0,settled
1410,criminal,appeal,2016,2,False,1,343,True,4,settled
1411,family,trial,2018,5,True,1,104,False,8,settled
1412,contract,trial,2016,3,True,1,308,False,4,plaintiff_win
1413,criminal,trial,2019,3,True,2,205,True,5,settled
1414,civil,appeal,2022,3,True,1,179,False,7,settled
1415,family,appeal,2016,5,False,1,302,False,10,plaintiff_win
1416,civil,appeal,2018,3,False,2,354,False,0,defendant_win
1417,civil,appeal,2015,5,True,2,137,True,1,settled
1418,criminal,appeal,2021,3,True,2,168,False,8,defendant_win
1419,contract,appeal,2019,4,False,1,300,True,2,settled
1420,criminal,appeal,2015,2,False,3,318,False,5,defendant_win
1421,criminal,trial,2015,4,False,3,241,False,4,defendant_win
1422,criminal,trial,2015,2,False,2,301,True,10,settled
1423,criminal,trial,2017,5,True,3,95,False,1,plaintiff_win
1424,family,trial,2021,4,True,2,277,False,6,plaintiff_win
1425,contract,trial,2022,3,False,1,185,True,3,settled
1426,civil,trial,2020,2,False,3,76,False,0,plaintiff_win
1427,civil,trial,2021,2,True,1,230,True,3,settled
1428,contract,appeal,2017,4,False,3,177,False,5,plaintiff_win
1429,civil,appeal,2020,5,False,1,153,False,6,settled
1430,contract,trial,2021,4,False,3,30,False,6,plaintiff_win
1431,civil,trial,2015,5,False,1,276,True,6,settled
1432,criminal,appeal,2019,5,False,1,157,False,2,defendant_win
1433,civil,trial,2020,2,False,3,220,False,5,defendant_win
1434,contract,trial,2018,4,False,1,96,False,7,settled
1435,contract,appeal,2018,4,True,1,33,False,3,defendant_win
1436,contract,trial,2016,5,True,1,332,False,7,settled
1437,contract,appeal,2020,4,False,3,323,True,1,settled
1438,contract,trial,2019,3,False,3,172,True,9,settled
1439,family,appeal,2022,3,True,1,220,False,8,settled
1440,family,appeal,2017,4,False,1,50,True,8,settled
1441,civil,appeal,2015,4,False,3,256,False,7,defendant_win
1442,contract,trial,2016,5,True,3,342,False,9,defendant_win
1443,civil,appeal,2018,3,False,1,146,True,9,settled
1444,contract,trial,2017,3,False,1,331,False,0,settled
1445,contract,trial,2017,2,False,1,171,False,1,defendant_win
1446,family,trial,2015,5,True,2,68,False,5,settled
1447,family,trial,2022,2,False,3,281,True,9,settled
1448,criminal,appeal,2022,3,False,2,362,True,4,settled
1449,family,appeal,2020,5,False,3,236,False,8,defendant_win
1450,criminal,trial,2018,4,False,3,239,False,4,defendant_win
1451,criminal,trial,2022,5,False,3,144,False,1,defendant_win
1452,criminal,appeal,2019,4,False,3,254,False,9,plaintiff_win
1453,criminal,trial,2022,4,False,3,163,True,3,settled
1454,criminal,appeal,2017,5,False,3,280,False,8,defendant_win
1455,civil,trial,2015,4,True,3,248,True,0,settled
1456,family,trial,2019,2,False,2,120,False,10,plaintiff_win
1457,criminal,appeal,2020,3,False,1,75,False,0,plaintiff_win
1458,contract,trial,2018,4,False,1,67,False,6,plaintiff_win
1459,family,appeal,2020,2,True,2,171,False,10,plaintiff_win
1460,family,trial,2017,4,False,2,129,True,2,settled
1461,criminal,trial,2019,3,False,2,357,False,9,defendant_win
1462,civil,trial,2019,2,False,2,219,True,1,settled
1463,criminal,appeal,2019,3,True,3,64,False,8,defendant_win
1464,civil,trial,2017,3,False,1,176,True,2,settled
1465,contract,trial,2017,2,False,3,59,False,1,defendant_win
1466,family,trial,2020,2,True,1,363,False,7,settled
1467,contract,trial,2016,2,False,1,113,True,9,settled
1468,civil,appeal,2020,5,False,2,310,True,5,settled
1469,civil,appeal,2018,2,False,3,299,False,5,defendant_win
